,sentiment_index
2015-08,0.08596041218274038
2015-09,0.0831227778447573
2015-10,0.06845393705309334
2015-11,0.11919203359101671
2015-12,0.10308067558646324
2016-01,0.10960242847729826
2016-02,0.039166267572984165
2016-03,0.0365868308689674
2016-04,0.09220831212958663
2016-05,0.06906839197645971
2016-06,0.056909273965621704
2016-07,0.040015982142957714
2016-08,0.07721119828100892
2016-09,0.030601232101219452
2016-10,0.010565465812153365
2016-11,0.05359135287129363
2016-12,0.06696095012423037
2017-01,0.06637495655797582
2017-02,0.10375809049454247
2017-03,0.07752891834100406
2017-04,0.10734871080264959
2017-05,0.09504817589042582
2017-06,0.12643874343270586
2017-07,0.13463340235209434
2017-08,0.14578981488369466
2017-09,0.1338519858006391
2017-10,0.15086045709243667
2017-11,0.22057647440773354
